Size of finetuning dataset: 16947
{'loss': 0.0281, 'grad_norm': 0.001059519243426621, 'learning_rate': 9.952796790181732e-07, 'rewards/chosen': 4.168478488922119, 'rewards/rejected': -4.117368698120117, 'rewards/accuracies': 0.9900000095367432, 'rewards/margins': 8.285846710205078, 'logps/chosen': -16.11231231689453, 'logps/rejected': -300.60137939453125, 'logits/chosen': -0.7792966961860657, 'logits/rejected': 2.430508613586426, 'epoch': 0.02}
{'loss': 0.0, 'grad_norm': 4.962932393937081e-07, 'learning_rate': 9.433561482180787e-07, 'rewards/chosen': 5.667316913604736, 'rewards/rejected': -16.724023818969727, 'rewards/accuracies': 1.0, 'rewards/margins': 22.391342163085938, 'logps/chosen': -1.316886305809021, 'logps/rejected': -443.9442138671875, 'logits/chosen': -3.0204410552978516, 'logits/rejected': 0.7006632089614868, 'epoch': 0.28}
{'loss': 0.0, 'grad_norm': 2.6033851099782623e-05, 'learning_rate': 9.38635827236252e-07, 'rewards/chosen': 5.6742730140686035, 'rewards/rejected': -17.084957122802734, 'rewards/accuracies': 1.0, 'rewards/margins': 22.759231567382812, 'logps/chosen': -1.1747124195098877, 'logps/rejected': -453.26239013671875, 'logits/chosen': -3.0718986988067627, 'logits/rejected': 0.6875330209732056, 'epoch': 0.31}
{'loss': 0.0, 'grad_norm': 8.205554280493743e-08, 'learning_rate': 9.339155062544253e-07, 'rewards/chosen': 5.696368217468262, 'rewards/rejected': -16.92441177368164, 'rewards/accuracies': 1.0, 'rewards/margins': 22.62078094482422, 'logps/chosen': -0.995535671710968, 'logps/rejected': -436.9341125488281, 'logits/chosen': -3.1593031883239746, 'logits/rejected': 0.6459423303604126, 'epoch': 0.33}
{'loss': 0.0, 'grad_norm': 0.009108384139835835, 'learning_rate': 9.291951852725985e-07, 'rewards/chosen': 5.709202289581299, 'rewards/rejected': -17.156612396240234, 'rewards/accuracies': 1.0, 'rewards/margins': 22.865816116333008, 'logps/chosen': -1.0815931558609009, 'logps/rejected': -435.7090148925781, 'logits/chosen': -3.1844162940979004, 'logits/rejected': 0.5529142022132874, 'epoch': 0.35}
{'loss': 0.0, 'grad_norm': 1.1934377653233241e-05, 'learning_rate': 9.244748642907717e-07, 'rewards/chosen': 5.6560893058776855, 'rewards/rejected': -18.38818359375, 'rewards/accuracies': 1.0, 'rewards/margins': 24.044269561767578, 'logps/chosen': -0.8659566640853882, 'logps/rejected': -468.6649475097656, 'logits/chosen': -3.2139711380004883, 'logits/rejected': 0.659061074256897, 'epoch': 0.38}
{'loss': 0.0, 'grad_norm': 0.00015466530749108642, 'learning_rate': 9.19754543308945e-07, 'rewards/chosen': 5.6768317222595215, 'rewards/rejected': -18.097023010253906, 'rewards/accuracies': 1.0, 'rewards/margins': 23.773853302001953, 'logps/chosen': -1.2766262292861938, 'logps/rejected': -450.1065979003906, 'logits/chosen': -3.2424099445343018, 'logits/rejected': 0.5031709671020508, 'epoch': 0.4}
{'loss': 0.0, 'grad_norm': 3.994498172232852e-07, 'learning_rate': 9.150342223271183e-07, 'rewards/chosen': 5.699066638946533, 'rewards/rejected': -18.579242706298828, 'rewards/accuracies': 1.0, 'rewards/margins': 24.278308868408203, 'logps/chosen': -1.117540717124939, 'logps/rejected': -457.5365295410156, 'logits/chosen': -3.2977683544158936, 'logits/rejected': 0.45860981941223145, 'epoch': 0.42}
{'loss': 0.0, 'grad_norm': 1.0419253158033825e-06, 'learning_rate': 9.103139013452914e-07, 'rewards/chosen': 5.7350921630859375, 'rewards/rejected': -19.275400161743164, 'rewards/accuracies': 1.0, 'rewards/margins': 25.0104923248291, 'logps/chosen': -0.9040876626968384, 'logps/rejected': -468.5928649902344, 'logits/chosen': -3.3707756996154785, 'logits/rejected': 0.3728923797607422, 'epoch': 0.45}
{'loss': 0.0, 'grad_norm': 2.6131329988743346e-08, 'learning_rate': 9.055935803634647e-07, 'rewards/chosen': 5.728125095367432, 'rewards/rejected': -19.58416175842285, 'rewards/accuracies': 1.0, 'rewards/margins': 25.31229019165039, 'logps/chosen': -0.8756950497627258, 'logps/rejected': -467.9239196777344, 'logits/chosen': -3.3708646297454834, 'logits/rejected': 0.4393545091152191, 'epoch': 0.47}
{'loss': 0.0, 'grad_norm': 2.5966620853523636e-08, 'learning_rate': 9.008732593816379e-07, 'rewards/chosen': 5.713356971740723, 'rewards/rejected': -20.00914192199707, 'rewards/accuracies': 1.0, 'rewards/margins': 25.72249984741211, 'logps/chosen': -0.9624769687652588, 'logps/rejected': -464.4969787597656, 'logits/chosen': -3.425421953201294, 'logits/rejected': 0.30802416801452637, 'epoch': 0.5}
{'loss': 0.0, 'grad_norm': 3.670485249074318e-09, 'learning_rate': 8.961529383998111e-07, 'rewards/chosen': 5.711674213409424, 'rewards/rejected': -20.394800186157227, 'rewards/accuracies': 1.0, 'rewards/margins': 26.106473922729492, 'logps/chosen': -0.7673306465148926, 'logps/rejected': -486.8776550292969, 'logits/chosen': -3.434199333190918, 'logits/rejected': 0.39303848147392273, 'epoch': 0.52}
{'loss': 0.0, 'grad_norm': 2.3577096726512536e-05, 'learning_rate': 8.914326174179844e-07, 'rewards/chosen': 5.688787937164307, 'rewards/rejected': -20.848548889160156, 'rewards/accuracies': 1.0, 'rewards/margins': 26.537336349487305, 'logps/chosen': -1.215430736541748, 'logps/rejected': -478.78155517578125, 'logits/chosen': -3.4788269996643066, 'logits/rejected': 0.2870464622974396, 'epoch': 0.54}
{'loss': 0.0, 'grad_norm': 1.0664090950740501e-05, 'learning_rate': 8.867122964361576e-07, 'rewards/chosen': 5.700676441192627, 'rewards/rejected': -21.278404235839844, 'rewards/accuracies': 1.0, 'rewards/margins': 26.979076385498047, 'logps/chosen': -0.9381164312362671, 'logps/rejected': -499.12152099609375, 'logits/chosen': -3.5033135414123535, 'logits/rejected': 0.30794426798820496, 'epoch': 0.57}
{'loss': 0.0, 'grad_norm': 1.625005552341463e-08, 'learning_rate': 8.819919754543309e-07, 'rewards/chosen': 5.6966047286987305, 'rewards/rejected': -20.854778289794922, 'rewards/accuracies': 1.0, 'rewards/margins': 26.551382064819336, 'logps/chosen': -0.9831154346466064, 'logps/rejected': -474.9080810546875, 'logits/chosen': -3.5458319187164307, 'logits/rejected': 0.2734103798866272, 'epoch': 0.59}
{'loss': 0.0, 'grad_norm': 1.273590566341909e-08, 'learning_rate': 8.77271654472504e-07, 'rewards/chosen': 5.663485050201416, 'rewards/rejected': -21.82333755493164, 'rewards/accuracies': 1.0, 'rewards/margins': 27.48682403564453, 'logps/chosen': -1.1862798929214478, 'logps/rejected': -486.9157409667969, 'logits/chosen': -3.572732448577881, 'logits/rejected': 0.24354436993598938, 'epoch': 0.61}
{'loss': 0.0, 'grad_norm': 7.414381286707794e-08, 'learning_rate': 8.725513334906774e-07, 'rewards/chosen': 5.698972225189209, 'rewards/rejected': -21.710153579711914, 'rewards/accuracies': 1.0, 'rewards/margins': 27.409128189086914, 'logps/chosen': -0.8783462643623352, 'logps/rejected': -481.9571228027344, 'logits/chosen': -3.5969958305358887, 'logits/rejected': 0.17590245604515076, 'epoch': 0.64}
{'loss': 0.0, 'grad_norm': 3.986968977187644e-09, 'learning_rate': 8.678310125088506e-07, 'rewards/chosen': 5.698622226715088, 'rewards/rejected': -22.611848831176758, 'rewards/accuracies': 1.0, 'rewards/margins': 28.310468673706055, 'logps/chosen': -1.025404453277588, 'logps/rejected': -498.1165771484375, 'logits/chosen': -3.6340248584747314, 'logits/rejected': 0.129242941737175, 'epoch': 0.66}
{'loss': 0.0, 'grad_norm': 3.13993837153248e-07, 'learning_rate': 8.631106915270238e-07, 'rewards/chosen': 5.697978973388672, 'rewards/rejected': -22.817140579223633, 'rewards/accuracies': 1.0, 'rewards/margins': 28.515119552612305, 'logps/chosen': -0.9752709269523621, 'logps/rejected': -501.4745788574219, 'logits/chosen': -3.6778664588928223, 'logits/rejected': 0.1497340053319931, 'epoch': 0.68}
{'loss': 0.0, 'grad_norm': 2.4409540856140666e-05, 'learning_rate': 8.58390370545197e-07, 'rewards/chosen': 5.705825328826904, 'rewards/rejected': -23.05523681640625, 'rewards/accuracies': 1.0, 'rewards/margins': 28.761064529418945, 'logps/chosen': -0.985270619392395, 'logps/rejected': -511.8843078613281, 'logits/chosen': -3.687563896179199, 'logits/rejected': 0.09886132925748825, 'epoch': 0.71}
{'loss': 0.0, 'grad_norm': 1.9274841722705105e-09, 'learning_rate': 8.536700495633703e-07, 'rewards/chosen': 5.663309097290039, 'rewards/rejected': -23.184160232543945, 'rewards/accuracies': 1.0, 'rewards/margins': 28.847471237182617, 'logps/chosen': -1.1094491481781006, 'logps/rejected': -508.76788330078125, 'logits/chosen': -3.6762778759002686, 'logits/rejected': 0.17783592641353607, 'epoch': 0.73}
{'loss': 0.0, 'grad_norm': 1.5286281040971517e-07, 'learning_rate': 8.489497285815435e-07, 'rewards/chosen': 5.678412437438965, 'rewards/rejected': -22.83456802368164, 'rewards/accuracies': 1.0, 'rewards/margins': 28.512981414794922, 'logps/chosen': -1.0491466522216797, 'logps/rejected': -503.03399658203125, 'logits/chosen': -3.675294876098633, 'logits/rejected': 0.13867437839508057, 'epoch': 0.76}
{'loss': 0.0, 'grad_norm': 4.2593556459635806e-10, 'learning_rate': 8.442294075997167e-07, 'rewards/chosen': 5.691872596740723, 'rewards/rejected': -23.508338928222656, 'rewards/accuracies': 1.0, 'rewards/margins': 29.200210571289062, 'logps/chosen': -0.8926358222961426, 'logps/rejected': -520.1853637695312, 'logits/chosen': -3.6664516925811768, 'logits/rejected': 0.16621991991996765, 'epoch': 0.78}
{'loss': 0.0, 'grad_norm': 5.366902300352194e-08, 'learning_rate': 8.3950908661789e-07, 'rewards/chosen': 5.739645481109619, 'rewards/rejected': -23.49661636352539, 'rewards/accuracies': 1.0, 'rewards/margins': 29.23626136779785, 'logps/chosen': -0.8339276313781738, 'logps/rejected': -512.7070922851562, 'logits/chosen': -3.697620153427124, 'logits/rejected': 0.08202695846557617, 'epoch': 0.8}
{'loss': 0.0, 'grad_norm': 0.019156062975525856, 'learning_rate': 8.347887656360632e-07, 'rewards/chosen': 5.692765712738037, 'rewards/rejected': -23.373310089111328, 'rewards/accuracies': 1.0, 'rewards/margins': 29.06607437133789, 'logps/chosen': -0.9200876355171204, 'logps/rejected': -503.3145751953125, 'logits/chosen': -3.674039602279663, 'logits/rejected': 0.1239437386393547, 'epoch': 0.83}
{'loss': 0.0, 'grad_norm': 5.034852392782341e-07, 'learning_rate': 8.300684446542364e-07, 'rewards/chosen': 5.686226844787598, 'rewards/rejected': -23.410215377807617, 'rewards/accuracies': 1.0, 'rewards/margins': 29.0964412689209, 'logps/chosen': -1.120174527168274, 'logps/rejected': -512.1287231445312, 'logits/chosen': -3.7221062183380127, 'logits/rejected': 0.07778696715831757, 'epoch': 0.85}
{'loss': 0.0, 'grad_norm': 2.029571533057606e-08, 'learning_rate': 8.253481236724097e-07, 'rewards/chosen': 5.71316385269165, 'rewards/rejected': -24.002412796020508, 'rewards/accuracies': 1.0, 'rewards/margins': 29.715576171875, 'logps/chosen': -0.9455599784851074, 'logps/rejected': -508.4242858886719, 'logits/chosen': -3.8101677894592285, 'logits/rejected': -0.016824332997202873, 'epoch': 0.87}
{'loss': 0.0, 'grad_norm': 4.736494529922197e-10, 'learning_rate': 8.20627802690583e-07, 'rewards/chosen': 5.677833080291748, 'rewards/rejected': -24.474695205688477, 'rewards/accuracies': 1.0, 'rewards/margins': 30.15253257751465, 'logps/chosen': -1.108280897140503, 'logps/rejected': -521.7376708984375, 'logits/chosen': -3.815974712371826, 'logits/rejected': 0.010736756026744843, 'epoch': 0.9}
{'loss': 0.0, 'grad_norm': 2.3751621114342925e-08, 'learning_rate': 8.159074817087561e-07, 'rewards/chosen': 5.682162284851074, 'rewards/rejected': -24.428260803222656, 'rewards/accuracies': 1.0, 'rewards/margins': 30.110427856445312, 'logps/chosen': -0.9455084204673767, 'logps/rejected': -509.40753173828125, 'logits/chosen': -3.8110311031341553, 'logits/rejected': 0.042236700654029846, 'epoch': 0.92}
{'loss': 0.0, 'grad_norm': 1.5051601849336294e-06, 'learning_rate': 8.111871607269294e-07, 'rewards/chosen': 5.687138557434082, 'rewards/rejected': -25.03457260131836, 'rewards/accuracies': 1.0, 'rewards/margins': 30.721712112426758, 'logps/chosen': -1.0868474245071411, 'logps/rejected': -542.08203125, 'logits/chosen': -3.826629877090454, 'logits/rejected': -0.028649723157286644, 'epoch': 0.94}
{'loss': 0.0, 'grad_norm': 5.522856061368486e-10, 'learning_rate': 8.064668397451026e-07, 'rewards/chosen': 5.677100658416748, 'rewards/rejected': -24.66632652282715, 'rewards/accuracies': 1.0, 'rewards/margins': 30.343425750732422, 'logps/chosen': -1.1638619899749756, 'logps/rejected': -510.1694641113281, 'logits/chosen': -3.8250341415405273, 'logits/rejected': -0.04846378415822983, 'epoch': 0.97}
{'loss': 0.0, 'grad_norm': 5.665083419731376e-12, 'learning_rate': 8.017465187632759e-07, 'rewards/chosen': 5.700717926025391, 'rewards/rejected': -25.396621704101562, 'rewards/accuracies': 1.0, 'rewards/margins': 31.097339630126953, 'logps/chosen': -1.063909888267517, 'logps/rejected': -526.6781005859375, 'logits/chosen': -3.867220163345337, 'logits/rejected': -0.15250475704669952, 'epoch': 0.99}
{'loss': 0.0, 'grad_norm': 4.237997730527354e-10, 'learning_rate': 7.970261977814491e-07, 'rewards/chosen': 5.7070631980896, 'rewards/rejected': -25.066661834716797, 'rewards/accuracies': 1.0, 'rewards/margins': 30.773725509643555, 'logps/chosen': -0.9297513365745544, 'logps/rejected': -513.5571899414062, 'logits/chosen': -3.9273793697357178, 'logits/rejected': -0.16916674375534058, 'epoch': 1.01}
{'loss': 0.0, 'grad_norm': 7.940676560735938e-09, 'learning_rate': 7.923058767996223e-07, 'rewards/chosen': 5.678253173828125, 'rewards/rejected': -25.19515609741211, 'rewards/accuracies': 1.0, 'rewards/margins': 30.873411178588867, 'logps/chosen': -1.0586756467819214, 'logps/rejected': -525.9248657226562, 'logits/chosen': -3.91683292388916, 'logits/rejected': -0.13952332735061646, 'epoch': 1.04}
{'loss': 0.0, 'grad_norm': 0.00032299754093401134, 'learning_rate': 7.875855558177956e-07, 'rewards/chosen': 5.71481466293335, 'rewards/rejected': -25.26496124267578, 'rewards/accuracies': 1.0, 'rewards/margins': 30.979772567749023, 'logps/chosen': -0.9096872210502625, 'logps/rejected': -518.6461181640625, 'logits/chosen': -3.9289581775665283, 'logits/rejected': -0.17582464218139648, 'epoch': 1.06}
{'loss': 0.0, 'grad_norm': 1.7121956830123963e-07, 'learning_rate': 7.828652348359687e-07, 'rewards/chosen': 5.709474563598633, 'rewards/rejected': -25.635602951049805, 'rewards/accuracies': 1.0, 'rewards/margins': 31.345075607299805, 'logps/chosen': -1.0591621398925781, 'logps/rejected': -520.8804931640625, 'logits/chosen': -3.940582275390625, 'logits/rejected': -0.2505292594432831, 'epoch': 1.09}
{'loss': 0.0, 'grad_norm': 3.538390247470602e-09, 'learning_rate': 7.781449138541421e-07, 'rewards/chosen': 5.683995246887207, 'rewards/rejected': -25.901573181152344, 'rewards/accuracies': 1.0, 'rewards/margins': 31.5855655670166, 'logps/chosen': -0.9231583476066589, 'logps/rejected': -531.9586791992188, 'logits/chosen': -3.935859441757202, 'logits/rejected': -0.19436615705490112, 'epoch': 1.11}
{'loss': 0.0, 'grad_norm': 1.8532233039825208e-11, 'learning_rate': 7.734245928723153e-07, 'rewards/chosen': 5.720160007476807, 'rewards/rejected': -25.945768356323242, 'rewards/accuracies': 1.0, 'rewards/margins': 31.665925979614258, 'logps/chosen': -0.9546734094619751, 'logps/rejected': -529.954833984375, 'logits/chosen': -3.964512348175049, 'logits/rejected': -0.19087524712085724, 'epoch': 1.13}
{'loss': 0.0, 'grad_norm': 9.593059679957605e-10, 'learning_rate': 7.687042718904885e-07, 'rewards/chosen': 5.702425003051758, 'rewards/rejected': -25.940290451049805, 'rewards/accuracies': 1.0, 'rewards/margins': 31.642715454101562, 'logps/chosen': -1.0755069255828857, 'logps/rejected': -519.01806640625, 'logits/chosen': -3.976327419281006, 'logits/rejected': -0.19600751996040344, 'epoch': 1.16}
{'loss': 0.0, 'grad_norm': 0.00018285811529494822, 'learning_rate': 7.639839509086617e-07, 'rewards/chosen': 5.7039289474487305, 'rewards/rejected': -25.778404235839844, 'rewards/accuracies': 1.0, 'rewards/margins': 31.482328414916992, 'logps/chosen': -0.9721161127090454, 'logps/rejected': -529.4037475585938, 'logits/chosen': -3.9922711849212646, 'logits/rejected': -0.26072975993156433, 'epoch': 1.18}
{'loss': 0.0, 'grad_norm': 1.3121304220931052e-07, 'learning_rate': 7.592636299268351e-07, 'rewards/chosen': 5.676574230194092, 'rewards/rejected': -27.110492706298828, 'rewards/accuracies': 1.0, 'rewards/margins': 32.78706359863281, 'logps/chosen': -0.8595782518386841, 'logps/rejected': -552.0242309570312, 'logits/chosen': -3.9939146041870117, 'logits/rejected': -0.16232559084892273, 'epoch': 1.2}
{'loss': 0.0, 'grad_norm': 7.013773739572571e-08, 'learning_rate': 7.545433089450082e-07, 'rewards/chosen': 5.702919960021973, 'rewards/rejected': -26.805896759033203, 'rewards/accuracies': 1.0, 'rewards/margins': 32.508819580078125, 'logps/chosen': -0.8804013133049011, 'logps/rejected': -546.052978515625, 'logits/chosen': -4.021813869476318, 'logits/rejected': -0.2300081104040146, 'epoch': 1.23}
{'loss': 0.0, 'grad_norm': 3.070686216233298e-05, 'learning_rate': 7.498229879631814e-07, 'rewards/chosen': 5.718744277954102, 'rewards/rejected': -26.602670669555664, 'rewards/accuracies': 1.0, 'rewards/margins': 32.3214111328125, 'logps/chosen': -0.9883514642715454, 'logps/rejected': -543.3633422851562, 'logits/chosen': -4.018431663513184, 'logits/rejected': -0.23697572946548462, 'epoch': 1.25}
{'loss': 0.0, 'grad_norm': 2.9394100238278043e-06, 'learning_rate': 7.451026669813547e-07, 'rewards/chosen': 5.696203708648682, 'rewards/rejected': -26.932558059692383, 'rewards/accuracies': 1.0, 'rewards/margins': 32.628761291503906, 'logps/chosen': -1.0345574617385864, 'logps/rejected': -549.8911743164062, 'logits/chosen': -4.013500213623047, 'logits/rejected': -0.24553123116493225, 'epoch': 1.27}
{'loss': 0.0, 'grad_norm': 6.310544968524123e-12, 'learning_rate': 7.403823459995279e-07, 'rewards/chosen': 5.719886302947998, 'rewards/rejected': -26.78399658203125, 'rewards/accuracies': 1.0, 'rewards/margins': 32.503883361816406, 'logps/chosen': -0.7967905402183533, 'logps/rejected': -543.4227294921875, 'logits/chosen': -4.029665470123291, 'logits/rejected': -0.23644942045211792, 'epoch': 1.3}
{'loss': 0.0, 'grad_norm': 3.998834756657743e-07, 'learning_rate': 7.356620250177012e-07, 'rewards/chosen': 5.686431884765625, 'rewards/rejected': -26.354900360107422, 'rewards/accuracies': 1.0, 'rewards/margins': 32.04133224487305, 'logps/chosen': -0.9965299963951111, 'logps/rejected': -525.2896728515625, 'logits/chosen': -4.018320083618164, 'logits/rejected': -0.2793569564819336, 'epoch': 1.32}
{'loss': 0.0, 'grad_norm': 4.177266588190065e-10, 'learning_rate': 7.309417040358744e-07, 'rewards/chosen': 5.681845664978027, 'rewards/rejected': -25.925369262695312, 'rewards/accuracies': 1.0, 'rewards/margins': 31.607213973999023, 'logps/chosen': -0.8549984097480774, 'logps/rejected': -515.9185791015625, 'logits/chosen': -4.013054847717285, 'logits/rejected': -0.30220353603363037, 'epoch': 1.35}
{'loss': 0.0, 'grad_norm': 1.53376211731171e-09, 'learning_rate': 7.262213830540477e-07, 'rewards/chosen': 5.6771039962768555, 'rewards/rejected': -27.158056259155273, 'rewards/accuracies': 1.0, 'rewards/margins': 32.83515930175781, 'logps/chosen': -1.0352063179016113, 'logps/rejected': -544.733154296875, 'logits/chosen': -4.025762557983398, 'logits/rejected': -0.2137155532836914, 'epoch': 1.37}
{'loss': 0.0, 'grad_norm': 5.541606670073085e-13, 'learning_rate': 7.215010620722208e-07, 'rewards/chosen': 5.725372314453125, 'rewards/rejected': -27.040082931518555, 'rewards/accuracies': 1.0, 'rewards/margins': 32.76545715332031, 'logps/chosen': -1.114659070968628, 'logps/rejected': -544.073974609375, 'logits/chosen': -4.02508544921875, 'logits/rejected': -0.291812002658844, 'epoch': 1.39}
{'loss': 0.0, 'grad_norm': 4.542989248679241e-11, 'learning_rate': 7.167807410903941e-07, 'rewards/chosen': 5.700160026550293, 'rewards/rejected': -27.049665451049805, 'rewards/accuracies': 1.0, 'rewards/margins': 32.74982452392578, 'logps/chosen': -0.8742727041244507, 'logps/rejected': -542.1476440429688, 'logits/chosen': -4.048190116882324, 'logits/rejected': -0.3579893112182617, 'epoch': 1.42}
{'loss': 0.0, 'grad_norm': 4.721538160445959e-10, 'learning_rate': 7.120604201085674e-07, 'rewards/chosen': 5.7076191902160645, 'rewards/rejected': -26.940345764160156, 'rewards/accuracies': 1.0, 'rewards/margins': 32.64796447753906, 'logps/chosen': -0.8904571533203125, 'logps/rejected': -541.095947265625, 'logits/chosen': -4.031234264373779, 'logits/rejected': -0.2670862674713135, 'epoch': 1.44}
{'loss': 0.0, 'grad_norm': 1.8387511602213635e-07, 'learning_rate': 7.073400991267407e-07, 'rewards/chosen': 5.699441909790039, 'rewards/rejected': -27.423843383789062, 'rewards/accuracies': 1.0, 'rewards/margins': 33.12328338623047, 'logps/chosen': -0.8645932078361511, 'logps/rejected': -558.9749755859375, 'logits/chosen': -4.021122932434082, 'logits/rejected': -0.2085064947605133, 'epoch': 1.46}
{'loss': 0.0, 'grad_norm': 2.8101476701181127e-09, 'learning_rate': 7.026197781449138e-07, 'rewards/chosen': 5.691044807434082, 'rewards/rejected': -27.278181076049805, 'rewards/accuracies': 1.0, 'rewards/margins': 32.96922302246094, 'logps/chosen': -1.06034255027771, 'logps/rejected': -540.7752075195312, 'logits/chosen': -4.035917282104492, 'logits/rejected': -0.2588997185230255, 'epoch': 1.49}
{'loss': 0.0, 'grad_norm': 8.282830776806804e-08, 'learning_rate': 6.97899457163087e-07, 'rewards/chosen': 5.6870808601379395, 'rewards/rejected': -27.060148239135742, 'rewards/accuracies': 1.0, 'rewards/margins': 32.747230529785156, 'logps/chosen': -0.8661162853240967, 'logps/rejected': -538.802001953125, 'logits/chosen': -4.035252094268799, 'logits/rejected': -0.22397662699222565, 'epoch': 1.51}
{'loss': 0.0, 'grad_norm': 1.6702513816468922e-09, 'learning_rate': 6.931791361812603e-07, 'rewards/chosen': 5.717991352081299, 'rewards/rejected': -26.887500762939453, 'rewards/accuracies': 1.0, 'rewards/margins': 32.605491638183594, 'logps/chosen': -1.107369065284729, 'logps/rejected': -542.9491577148438, 'logits/chosen': -4.023383617401123, 'logits/rejected': -0.2833639085292816, 'epoch': 1.53}
{'loss': 0.0, 'grad_norm': 3.3001398922621883e-12, 'learning_rate': 6.884588151994335e-07, 'rewards/chosen': 5.719557285308838, 'rewards/rejected': -27.62881088256836, 'rewards/accuracies': 1.0, 'rewards/margins': 33.348365783691406, 'logps/chosen': -0.7459464073181152, 'logps/rejected': -561.0340576171875, 'logits/chosen': -4.045970439910889, 'logits/rejected': -0.24292822182178497, 'epoch': 1.56}
